Артикул (Part No.),Наименование (RU),Description (EN),Description (ZH),"Цена, CNY без НДС",Группа,Взаимозаменяемый артикул,Источник,Разделы
00102634,,NUT,六角螺母5/16,,,,NTE200,030-0060
00102635,,NUT,六角螺母,,,,NTE200,030-0030 030-0060 030-0200 040-0080 050-0240 090-0140
00102637,,NUT,螺母,,,,NTE200,040-0070 040-0080 050-0030 100-0170
00102639,,NUT,螺母,,,,NTE200,040-0060 040-0080
00103026,,NUT,螺母,,,,NTE200,050-0030
00103319,,WASHER,弹垫,,,,NTE200,020-0040 030-0060 030-0080 030-0180 090-0050 090-0140
00103320,,WASHER,弹簧垫圈5/16,,,,NTE200,030-0060 040-0080 050-0020
00103328,,WASHER SPRING,弹簧垫圈,,,,NTE200,050-0040 050-0090
00103329,,WAHR,弹垫,,,,NTE200,020-0050 030-0040 040-0000 040-0020 040-0070 040-0080 050-0030 050-0040 050-0080 050-0090 050-0170 050-0250 070-0000 070-0020 070-0040 070-0070 100-0050 100-0170 210-0210 210-0230
00103331,,LOCKWASHER,弹垫,,,,NTE200,040-0000 040-0040 040-0070 040-0080 050-0170 090-0160 100-0170
00103332,,WASHER SPRING,弹簧垫圈,,,,NTE200,040-0000 040-0070 100-0170
00103339,,WASHER,平垫圈1/4,,,,NTE200,030-0060 030-0180 050-0020 090-0050 090-0140
00103340,,WAHSER,平垫圈5/16,,,,NTE200,030-0060 040-0080
00103385,,PIN COTTER,开口销,,,,NTE200,070-0040
00106263,,WASHER,平垫圈,,,,NTE200,020-0030 020-0110 020-0120 030-0030 030-0040 030-0060 030-0160 030-0190 040-0010 050-0250 100-0030 100-0120 100-0230 100-0260 210-0230 210-0423
00106265,,WASHER,垫圈,,,,NTE200,030-0040 030-0160 050-0030 050-0080 050-0250 090-0150 100-0050 210-0230
00106267,,WASHER,平垫,,,,NTE200,040-0040 040-0070 050-0030 100-0170
00106268,,GASKET,垫圈,,,,NTE200,040-0060
00106270,,WASHER,垫圈,,,,NTE200,030-0130
00108580,,WASHER,弹垫,,,,NTE200,020-0040 030-0020 030-0030 030-0040 030-0060 030-0160 030-0190 040-0010 040-0020 040-0060 040-0080 050-0040 050-0090 050-0110 050-0170 050-0180 050-0240 050-0250 090-0140 100-0030 100-0120 100-0230 100-0260 150-0010 210-0210 210-0230 210-0423
00109084,,NUT,螺母,,,,NTE200,030-0180 090-0050
00111001,,ADAPTER,弯接头,,,,NTE200,050-0020 070-0050
00111145,,CONNECTION ELBOW,弯接头,,,,NTE200,070-0050
00113188,,PLUG,螺堵,,,,NTE200,070-0050
00117959,,RUBBER GROMMENT,眼护圈,,,,NTE200,100-0230
00117966,,EYE PROTECTOR,眼护圈 管夹,,,,NTE200,030-0020 100-0230
00120350,,LOCKING WASHER,弹垫,,,,NTE200,020-0040 030-0130 030-0140 040-0000
00125915,,ADAPTER,接头,,,,NTE200,040-0010
00137971,,ELBOW,弯头,,,,NTE200,040-0010
00138292,,BOLT,螺栓,,,,NTE200,050-0040
00144034,,ADAPTOR,接头,,,,NTE200,090-0140
00145378,,SCREW,螺钉,,,,NTE200,020-0040 100-0190
00178551,,WASHER,内齿锁紧垫圈,,,,NTE200,030-0020 030-0200
00179791,,BOLT,螺栓,,,,NTE200,030-0080
00179793,,BOLT,螺栓,,,,NTE200,040-0020
00179795,,BOLT,螺栓,,,,NTE200,050-0020
00179797,,BOLT,螺栓,,,,NTE200,020-0040 030-0060 030-0180 090-0050
00179816,,BOLT,螺栓,,,,NTE200,050-0020
00179818,,BOLT,六角头螺栓5/16,,,,NTE200,030-0060 040-0080
00179835,,BOLT,六角头螺栓3/8,,,,NTE200,030-0020 030-0040 030-0060 030-0200
00179837,,BOLT,螺栓,,,,NTE200,020-0040 030-0020 030-0030 030-0160 040-0010 050-0040 050-0170 100-0120 100-0230 150-0010
00179838,,BOLT,螺栓,,,,NTE200,040-0010 150-0010 210-0423
00179839,,BOLT,六角头螺栓3/8,,,,NTE200,030-0020 030-0030 030-0060 030-0160 030-0190 040-0070 050-0090 050-0240 050-0250 090-0140 100-0030 100-0120 100-0170 210-0230
00179841,,BOLT,螺栓,,,,NTE200,020-0020 020-0030 020-0040 020-0110 030-0060 040-0010 040-0020 040-0060 040-0080 050-0040 050-0090 050-0240 070-0030 090-0140 100-0260 210-0210
00179843,,HEXAGON BOLT,螺栓,,,,NTE200,020-0110 040-0080
00179845,,BOLT,六角头螺栓3/8-16-1.75,,,,NTE200,030-0160 040-0040 040-0070 100-0030 100-0170
00179847,,BOLT,螺栓,,,,NTE200,040-0040 040-0080
00179848,,BOLT,六角头螺栓,,,,NTE200,050-0090
00179860,,BOLT,螺栓,,,,NTE200,050-0040 050-0090
00179874,,BOLT,六角头螺栓,,,,NTE200,050-0090
00179881,,BOLT,螺栓,,,,NTE200,040-0070 100-0170 210-0230
00179883,,BOLT,螺栓,,,,NTE200,020-0040 040-0020 050-0040 070-0040
00179885,,CAPSCREW,螺栓,,,,NTE200,020-0050 040-0080 050-0040 050-0090 070-0020 090-0160 100-0050
00179887,,BOLT,六角头螺栓1/2-13UNC-1.75,,,,NTE200,030-0160 040-0070 050-0040 050-0080 100-0170
00179889,,HEXAGON BOLT,六角头螺栓,,,,NTE200,020-0020 030-0160
00179891,,CAPSCREW,螺栓,,,,NTE200,020-0050 030-0040
00179894,,BOLT,螺栓,,,,NTE200,050-0030
00181426,,BOLT,螺栓,,,,NTE200,050-0250
00186282,,BOLT,螺栓,,,,NTE200,050-0250
00186485,,BOLT,螺栓,,,,NTE200,050-0030
00186609,,BOLT,六角头螺栓,,,,NTE200,100-0120
00186635,,BOLT,螺栓,,,,NTE200,050-0030
00186646,,BOLT,螺栓,,,,NTE200,050-0030 050-0090 070-0000
00186725,,BOLT,螺栓,,,,NTE200,050-0170 070-0040 070-0070
00186730,,BOLT,螺栓,,,,NTE200,070-0040
00187491,,BOLT,螺栓,,,,NTE200,020-0120
00218220,,ELBOW,弯头,,,,NTE200,020-0040
00218858,,ADAPTER,接头,,,,NTE200,040-0010
00223433,,BOLT,螺栓,,,,NTE200,040-0070 100-0170
00223437,,BOLT,螺栓,,,,NTE200,020-0010 080-0010
00223438,,BOLT,螺栓,,,,NTE200,040-0000 070-0020 070-0070
00223439,,BOLT,螺栓,,,,NTE200,040-0000 080-0010
00223446,,BOLT,螺栓,,,,NTE200,050-0030 070-0070
00223453,,BOLT,螺栓,,,,NTE200,040-0000
00223464,,BOLT,螺栓,,,,NTE200,040-0000
00223486,,BOLT,螺栓,,,,NTE200,030-0130
00223488,,BOLT,螺栓,,,,NTE200,040-0000
00223493,,BOLT,螺栓,,,,NTE200,020-0040 030-0140
00271554,,BOLT,螺栓,,,,NTE200,020-0020 040-0040
00271556,,BOLT,螺栓,,,,NTE200,040-0040 040-0070 040-0080 050-0170 100-0170
00271558,,BOLT,螺栓,,,,NTE200,020-0020 090-0150
00271560,,BOLT,螺栓,,,,NTE200,040-0080
00271562,,HEXAGON BOLT,螺栓,,,,NTE200,090-0160
00271564,,BOLT,螺栓,,,,NTE200,040-0080
00271609,,BOLT,螺栓,,,,NTE200,040-0080
00271612,,BOLT,螺栓,,,,NTE200,040-0070 100-0170
00271613,,BOLT,螺栓,,,,NTE200,040-0060
00271621,,BOLT,螺栓,,,,NTE200,040-0060
00273469,,PLUG,螺塞,,,,NTE200,050-0020
00274208,,LOCK NUT,自锁螺母,,,,NTE200,020-0020 020-0030 020-0040 020-0110 030-0020 030-0030 030-0040 030-0060 030-0160 040-0010 040-0020 040-0040 040-0070 050-0250 100-0030 100-0120 100-0170 210-0210
00274209,,LOCK NUT,自锁螺母,,,,NTE200,020-0020 020-0040 020-0050 030-0160 050-0090 070-0040 090-0160
00274210,,NUT,螺母,,,,NTE200,020-0010 040-0060 040-0080
00274821,,LOCK NUT,自锁螺母,,,,NTE200,020-0020 040-0060 050-0030
00274856,,NUT,自锁螺母,,,,NTE200,040-0020
00427563,,BOLT,螺栓,,,,NTE200,050-0030
00444035,,JOINT,接头,,,,NTE200,020-0040
00444679,,PLUG,螺堵,,,,NTE200,070-0040
00454112,,JOINT,弯头,,,,NTE200,100-0030
00454414,,BOLT STEEL PIPE,螺栓,,,,NTE200,080-0010
00454754,,LOCK NUT,自锁螺母,,,,NTE200,050-0020
00454989,,BOLT,螺栓,,,,NTE200,070-0020 070-0070
